id_ikan;nama_ikan;id_ikan_tangkapan
1;BABY TUNA 1 MINI;1
2;BABY TUNA 1 MINI SEMI;1
3;BABY TUNA 1 MINI PP;1
4;BABY TUNA 1 MINI BS;1
5;BABY TUNA 1 DOWN;1
6;BABY TUNA 1 DOWN SEMI;1
7;BABY TUNA 1 DOWN PP;1
8;BABY TUNA 1 DOWN BS;1
9;BABY TUNA 1 UP;1
10;BABY TUNA 1 UP SEMI;1
11;BABY TUNA 1 UP PP;1
12;BABY TUNA 1 UP BS;1
13;BABY TUNA 5 UP;1
14;BABY TUNA 5 UP SEMI;1
15;BABY TUNA 5 UP PP;1
16;BABY TUNA 5 UP BS;1
17;TUNA 10 UP;2
18;TUNA 10 UP SEMI;2
19;TUNA 10 UP PP;2
20;TUNA 10 UP BS;2
21;TUNA 20 UP;2
22;TUNA 20 UP SEMI;2
23;TUNA 20 UP PP;2
24;TUNA 20 UP BS;2
25;CAKALANG MINI;3
26;CAKALANG MINI SEMI;3
27;CAKALANG MINI PP;3
28;CAKALANG MINI BS;3
29;CAKALANG 1 DOWN;4
30;CAKALANG 1 DOWN SEMI;4
31;CAKALANG 1 DOWN PP;4
32;CAKALANG 1 DOWN BS;4
33;CAKALANG 1 UP;4
34;CAKALANG 1 UP SEMI;4
35;CAKALANG 1 UP PP;4
36;CAKALANG 1 UP BS;4
37;LAYANG KECIL;5
38;LAYANG KECIL SEMI;5
39;LAYANG KECIL PP;5
40;LAYANG KECIL BS;5
41;LAYANG;6
42;LAYANG SEMI;6
43;LAYANG PP;6
44;LAYANG BS;6
45;LAYANG BESAR;7
46;LAYANG BESAR SEMI;7
47;LAYANG BESAR PP;7
48;LAYANG BESAR BS;7
49;TONGKOL KECIL;8
50;TONGKOL KECIL SEMI;8
51;TONGKOL KECIL PP;8
52;TONGKOL KECIL BS;8
53;TONGKOL;9
54;TONGKOL SEMI;9
55;TONGKOL PP;9
56;TONGKOL BS;9
57;TONGKOL;9
58;LAURA;10
59;LAURA SEMI;10
60;LAURA PP;10
61;LAURA BS;10
62;LAURA BESAR;11
63;LAURA BESAR SEMI;11
64;LAURA BESAR PP;11
65;LAURA BESAR BS;11
66;TENGGIRI;12
67;TENGGIRI SEMI;12
68;TENGGIRI PP;12
69;TENGGIRI BS;12
70;CUMI KECIL;13
71;CUMI KECIL SEMI;13
72;CUMI KECIL BS;13
73;CUMI BESAR;14
74;CUMI BESAR SEMI;14
75;CUMI BESAR BS;14
76;LEMADANG 4 UP;15
77;LEMADANG 4 UP SEMI;15
78;LEMADANG 4 UP BS;15
79;LEMADANG 2 UP;15
80;LEMADANG 2 UP SEMI;15
81;LEMADANG 2 UP BS;15
82;LEMADANG 2 DOWN;15
83;LEMADANG 2 DOWN SEMI;15
84;LEMADANG 2 DOWN BS;15
85;BARAKUDA;16
86;HIU;17
87;KAKAP;18
88;KANANG;19
89;MARLIN;20
90;MARLIN GEPENG;21
91;POGOT;22
92;TEPUNGAN;23
93;BS CAMPUR;
94;BS PARAH;
